time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-03 12:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,299.84916217803953,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,299.84916217803953,0.0,trade,,,,,,,,,,,,
2024-08-04 03:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-04 03:00:00-04:00,buy,fill,943.0,NVDA,stock,,0.0,,106.04000091552734,market,1,299.98716259002686,0.0,trade,,,,,,,,,,,,
2024-08-04 04:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-04 04:00:00-04:00,buy,fill,943.0,NVDA,stock,,0.0,,106.04000091552734,market,1,299.98716259002686,0.0,trade,,,,,,,,,,,,
2024-08-04 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-04 11:00:00-04:00,sell,fill,1886.0,NVDA,stock,,0.0,,106.04000091552734,market,1,599.9743251800537,0.0,trade,,,,,,,,,,,,
2024-08-05 05:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 05:00:00-04:00,buy,fill,943.0,NVDA,stock,,0.0,,106.04000091552734,market,1,299.98716259002686,0.0,trade,,,,,,,,,,,,
2024-08-05 06:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 06:00:00-04:00,buy,fill,943.0,NVDA,stock,,0.0,,106.04000091552734,market,1,299.98716259002686,0.0,trade,,,,,,,,,,,,
2024-08-05 10:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 10:00:00-04:00,sell,fill,1886.0,NVDA,stock,,0.0,,92.0,market,1,520.536,0.0,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,buy,fill,736.0,AMD,stock,,0.0,,135.77499389648438,market,1,299.7911865234375,0.0,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,buy,fill,993.0,NVDA,stock,,0.0,,100.625,market,1,299.761875,0.0,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,sell,fill,736.0,AMD,stock,,0.0,,139.06900024414062,market,1,307.0643525390625,0.0,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,sell,fill,993.0,NVDA,stock,,0.0,,103.16000366210938,market,1,307.31365090942387,0.0,trade,,,,,,,,,,,,
2024-09-12 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-12 10:00:00-04:00,buy,fill,855.0,NVDA,stock,,0.0,,116.875,market,1,299.784375,0.0,trade,,,,,,,,,,,,
2024-09-12 11:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-12 11:00:00-04:00,buy,fill,836.0,NVDA,stock,,0.0,,119.60009765625,market,1,299.957044921875,0.0,trade,,,,,,,,,,,,
2024-09-12 12:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-09-12 12:00:00-04:00,sell,fill,1691.0,NVDA,stock,,0.0,,118.6750030517578,market,1,602.0382904815673,0.0,trade,,,,,,,,,,,,
