time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-01-01 20:00:00-05:00,Strategy,,bt_1,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 20:00:00-05:00,Strategy,,bt_1,DOGE,buy,market,fill,0.3333918154239654,732314.782799,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 21:00:00-05:00,Strategy,,bt_2,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 21:00:00-05:00,Strategy,,bt_2,DOGE,sell,market,fill,0.3307580351829529,732314.782799,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 22:00:00-05:00,Strategy,,bt_3,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 22:00:00-05:00,Strategy,,bt_3,DOGE,buy,market,fill,0.3322688937187195,692139.801321,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 23:00:00-05:00,Strategy,,bt_4,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-01 23:00:00-05:00,Strategy,,bt_4,DOGE,sell,market,fill,0.3309762179851532,91216.707354,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 00:00:00-05:00,Strategy,,bt_5,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 00:00:00-05:00,Strategy,,bt_5,DOGE,buy,market,fill,0.333757221698761,42911.271441,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 01:00:00-05:00,Strategy,,bt_6,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 01:00:00-05:00,Strategy,,bt_6,DOGE,sell,market,fill,0.3311047255992889,987.153569,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 02:00:00-05:00,Strategy,,bt_7,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 02:00:00-05:00,Strategy,,bt_7,DOGE,sell,market,fill,0.3306818008422851,49961.8219,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 03:00:00-05:00,Strategy,,bt_8,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 03:00:00-05:00,Strategy,,bt_8,DOGE,sell,market,fill,0.3336054980754852,592885.389939,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 04:00:00-05:00,Strategy,,bt_9,XRP,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 04:00:00-05:00,Strategy,,bt_9,XRP,buy,market,fill,2.3765087127685547,66032.191745,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 05:00:00-05:00,Strategy,,bt_10,XRP,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 05:00:00-05:00,Strategy,,bt_10,XRP,sell,market,fill,2.4012513160705566,66032.191745,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_11,USD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_12,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_11,USD,sell,market,canceled,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-01-02 06:00:00-05:00,Strategy,,bt_12,DOGE,buy,market,fill,0.3437715470790863,446366.354206,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 07:00:00-05:00,Strategy,,bt_13,DOGE,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 07:00:00-05:00,Strategy,,bt_13,DOGE,sell,market,fill,0.3415427803993225,446366.354206,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_14,AVAX,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_15,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_16,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_14,AVAX,buy,market,fill,39.38322067260742,5201.653419,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_15,DOGE,buy,market,fill,0.3363010585308075,555141.597974,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 10:00:00-05:00,Strategy,,bt_16,LINK,buy,market,fill,22.165884017944336,6696.947808,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_17,DOGE,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_18,LINK,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_19,AVAX,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_20,SOL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_17,DOGE,buy,market,fill,0.3367447257041931,115558.926661,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_18,LINK,buy,market,fill,22.18169593811035,3182.997361,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_19,AVAX,buy,market,fill,39.37343978881836,94.390439,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 11:00:00-05:00,Strategy,,bt_20,SOL,buy,market,fill,206.50360107421875,727.383168,1,0.0,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
2025-01-02 12:00:00-05:00,Strategy,,bt_21,AVAX,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,,trade,,,,,,,,,,,,
