time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 11:00:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,buy,fill,457.0,AAPL,stock,,0.0,,218.7100067138672,market,1,299.85141920471193,0.0,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,sell,fill,457.0,AAPL,stock,,0.0,,219.52999877929688,market,1,300.97562832641603,0.0,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,buy,fill,501.0,AMZN,stock,,0.0,,199.4250030517578,market,1,299.735779586792,0.0,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,buy,fill,622.0,AMD,stock,,0.0,,160.75999450683594,market,1,299.97814974975586,0.0,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,sell,fill,501.0,AMZN,stock,,0.0,,200.13999938964844,market,1,300.8104190826416,0.0,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,buy,fill,616.0,AMD,stock,,0.0,,162.31199645996094,market,1,299.9525694580078,0.0,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,sell,fill,1238.0,AMD,stock,,0.0,,163.91000366210938,market,1,608.7617536010742,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,fill,608.0,AMD,stock,,0.0,,164.32000732421875,market,1,299.719693359375,0.0,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,buy,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,299.84916217803953,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,fill,608.0,AMD,stock,,0.0,,164.32000732421875,market,1,299.719693359375,0.0,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,sell,fill,793.0,NVDA,stock,,0.0,,126.04000091552734,market,1,299.84916217803953,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,buy,fill,588.0,AMD,stock,,0.0,,170.0,market,1,299.88,0.0,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,buy,fill,190.0,META,stock,,0.0,,524.9005126953125,market,1,299.19329223632815,0.0,trade,,,,,,,,,,,,
